City,State,Housing type,Project,Units,Sq. ft. per unit,Neighborhood,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Boulder,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.48,1.2,1.76,1.2–1.76,0.8,0.49,1.11,0.49–1.11,25
Colorado Springs,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.48,1.31,1.65,1.31–1.65,0.11,0.08,0.15,0.08–0.15,26
Reno,NV,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.42,1.12,1.72,1.12–1.72,0.61,0.38,0.84,0.38–0.84,27
Jacksonville,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.37,1.21,1.53,1.21–1.53,0.28,0.22,0.34,0.22–0.34,28
Boise,ID,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.36,1.04,1.68,1.04–1.68,0.34,0.23,0.45,0.23–0.45,29
Nashville,TN,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.32,1.07,1.57,1.07–1.57,0.13,0.08,0.17,0.08–0.17,30
Austin,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.32,1.23,1.4,1.23–1.4,0.33,0.29,0.37,0.29–0.37,31
Tampa,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.31,1.11,1.51,1.11–1.51,0.37,0.28,0.46,0.28–0.46,32
Orlando,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.26,1.12,1.4,1.12–1.4,0.33,0.23,0.43,0.23–0.43,33
Columbus,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.22,1.1,1.34,1.1–1.34,0.12,0.09,0.15,0.09–0.15,34
New Orleans,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.2,1.06,1.34,1.06–1.34,0.18,0.15,0.22,0.15–0.22,35
San Antonio,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.2,1,1.39,1–1.39,0.15,0.1,0.19,0.1–0.19,36
Baton Rouge,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.18,1.02,1.33,1.02–1.33,0.41,0.31,0.51,0.31–0.51,37
Fort Worth,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1,0.9,1.09,0.9–1.09,0.14,0.11,0.18,0.11–0.18,38
El Paso,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",0.96,0.8,1.11,0.8–1.11,0.14,0.09,0.2,0.09–0.2,39
Denver,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",0.92,0.76,1.08,0.76–1.08,0.19,0.07,0.31,0.07–0.31,40
Oklahoma City,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",0.72,0.64,0.8,0.64–0.8,0.05,0.03,0.07,0.03–0.07,41
Wilmington,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",0.5,0.47,0.52,0.47–0.52,0,0,0,0–0,42
San Francisco,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",4.24,3.42,5.06,3.42–5.06,1.55,1.12,1.98,1.12–1.98,1
Jersey City,NJ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",3.95,2.29,5.6,2.29–5.6,0.33,0.12,0.53,0.12–0.53,2
Miami,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",3.7,2.97,4.42,2.97–4.42,1.28,1.01,1.56,1.01–1.56,3
Phoenix,AZ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",3.38,3.14,3.61,3.14–3.61,1.85,1.63,2.07,1.63–2.07,4
Tulsa,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",3.33,2.36,4.3,2.36–4.3,1.08,0.74,1.42,0.74–1.42,5
Philadelphia,PA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",2.96,2.7,3.21,2.7–3.21,0.21,0.18,0.24,0.18–0.24,6
Oakland,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",2.84,2.23,3.45,2.23–3.45,0.47,0.29,0.65,0.29–0.65,7
Washington,DC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",2.83,2.22,3.43,2.22–3.43,1,0.74,1.26,0.74–1.26,8
New York,NY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",2.79,2.69,2.88,2.69–2.88,0.82,0.78,0.87,0.78–0.87,9
Fort Lauderdale,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",2.71,2.15,3.27,2.15–3.27,1.11,0.8,1.42,0.8–1.42,10
Los Angeles,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",2.65,2.44,2.85,2.44–2.85,0.91,0.81,1,0.81–1,11
Boston,MA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",2.52,2.21,2.84,2.21–2.84,1.07,0.87,1.28,0.87–1.28,12
Honolulu,HI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",2.5,2.28,2.71,2.28–2.71,1.01,0.89,1.13,0.89–1.13,13
Seattle,WA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",2.26,2.15,2.38,2.15–2.38,0.68,0.63,0.73,0.63–0.73,14
Cleveland,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",2.16,1.6,2.72,1.6–2.72,0.51,0.32,0.7,0.32–0.7,15
Boise,ID,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",2.12,1.29,2.94,1.29–2.94,0.44,0.23,0.65,0.23–0.65,16
Louisville,KY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",2.06,1.35,2.77,1.35–2.77,0.25,0.12,0.38,0.12–0.38,17
San Diego,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.94,1.72,2.16,1.72–2.16,0.59,0.49,0.68,0.49–0.68,18
Albuquerque,NM,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.84,1.07,2.61,1.07–2.61,0.18,0.07,0.29,0.07–0.29,19
Jacksonville,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.82,1.59,2.06,1.59–2.06,0.47,0.37,0.58,0.37–0.58,20
Providence,RI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.77,1.33,2.21,1.33–2.21,0.1,0.05,0.14,0.05–0.14,21
Houston,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.72,1.46,1.97,1.46–1.97,0.27,0.18,0.36,0.18–0.36,22
Boulder,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.71,1.41,2,1.41–2,0.75,0.46,1.05,0.46–1.05,23
Durham,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.67,1.21,2.12,1.21–2.12,0.17,0.13,0.21,0.13–0.21,24
Sacramento,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.61,1.37,1.86,1.37–1.86,0.36,0.24,0.49,0.24–0.49,25
Portland,OR,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.53,1.45,1.61,1.45–1.61,0.55,0.51,0.6,0.51–0.6,26
Atlanta,GA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.5,1.31,1.68,1.31–1.68,0.35,0.26,0.44,0.26–0.44,27
Austin,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.43,1.35,1.52,1.35–1.52,0.3,0.27,0.33,0.27–0.33,28
Columbus,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.25,1.1,1.4,1.1–1.4,0.09,0.07,0.12,0.07–0.12,29
Tampa,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.23,1.01,1.46,1.01–1.46,0.34,0.24,0.43,0.24–0.43,30
Reno,NV,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.23,0.98,1.49,0.98–1.49,0.37,0.2,0.54,0.2–0.54,31
San Antonio,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.21,0.98,1.44,0.98–1.44,0.13,0.08,0.17,0.08–0.17,32
Nashville,TN,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.21,0.96,1.46,0.96–1.46,0.14,0.09,0.2,0.09–0.2,33
Colorado Springs,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.2,1.05,1.34,1.05–1.34,0.12,0.08,0.16,0.08–0.16,34
Fort Worth,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.13,1.02,1.24,1.02–1.24,0.12,0.09,0.15,0.09–0.15,35
Baton Rouge,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.13,0.95,1.3,0.95–1.3,0.32,0.23,0.4,0.23–0.4,36
Denver,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.08,0.98,1.19,0.98–1.19,0.2,0.12,0.28,0.12–0.28,37
Orlando,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.07,0.96,1.19,0.96–1.19,0.24,0.18,0.31,0.18–0.31,38
New Orleans,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",1.06,0.92,1.2,0.92–1.2,0.16,0.12,0.19,0.12–0.19,39
El Paso,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",0.82,0.67,0.98,0.67–0.98,0.12,0.05,0.19,0.05–0.19,40
Oklahoma City,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",0.76,0.68,0.85,0.68–0.85,0.05,0.03,0.07,0.03–0.07,41
Wilmington,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$80,000",0.52,0.49,0.55,0.49–0.55,0,0,0,0–0,42
San Francisco,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",4.76,3.76,5.76,3.76–5.76,1.71,1.19,2.24,1.19–2.24,1
Jersey City,NJ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",3.82,2.15,5.49,2.15–5.49,0.32,0.11,0.53,0.11–0.53,2
Miami,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",3.78,2.89,4.68,2.89–4.68,1.19,0.87,1.5,0.87–1.5,3
Tulsa,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",3.73,2.49,4.97,2.49–4.97,1.23,0.74,1.72,0.74–1.72,4
Phoenix,AZ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",3.7,3.43,3.98,3.43–3.98,2.05,1.75,2.34,1.75–2.34,5
Philadelphia,PA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",3.1,2.81,3.39,2.81–3.39,0.21,0.18,0.24,0.18–0.24,6
Los Angeles,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",3.02,2.75,3.29,2.75–3.29,1,0.88,1.11,0.88–1.11,7
Oakland,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",2.93,2.32,3.54,2.32–3.54,0.51,0.32,0.7,0.32–0.7,8
New York,NY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",2.8,2.7,2.89,2.7–2.89,0.84,0.8,0.89,0.8–0.89,9
Washington,DC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",2.66,2.01,3.3,2.01–3.3,1,0.7,1.3,0.7–1.3,10
Fort Lauderdale,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",2.63,1.91,3.35,1.91–3.35,0.97,0.62,1.32,0.62–1.32,11
Cleveland,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",2.55,1.72,3.39,1.72–3.39,0.56,0.3,0.82,0.3–0.82,12
Boston,MA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",2.54,2.2,2.87,2.2–2.87,1.14,0.91,1.38,0.91–1.38,13
Honolulu,HI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",2.42,2.19,2.66,2.19–2.66,0.95,0.83,1.07,0.83–1.07,14
Jacksonville,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",2.33,1.96,2.71,1.96–2.71,0.73,0.56,0.91,0.56–0.91,15
Louisville,KY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",2.2,1.34,3.06,1.34–3.06,0.28,0.12,0.44,0.12–0.44,16
Seattle,WA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",2.09,1.98,2.21,1.98–2.21,0.61,0.56,0.65,0.56–0.65,17
San Diego,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.93,1.68,2.17,1.68–2.17,0.53,0.43,0.62,0.43–0.62,18
Boulder,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.92,1.54,2.31,1.54–2.31,0.71,0.38,1.05,0.38–1.05,19
Houston,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.86,1.47,2.24,1.47–2.24,0.31,0.17,0.44,0.17–0.44,20
Providence,RI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.75,1.23,2.26,1.23–2.26,0.08,0.04,0.13,0.04–0.13,21
Durham,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.74,1.17,2.32,1.17–2.32,0.16,0.11,0.21,0.11–0.21,22
Sacramento,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.64,1.28,2.01,1.28–2.01,0.3,0.15,0.45,0.15–0.45,23
Portland,OR,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.56,1.43,1.68,1.43–1.68,0.51,0.43,0.58,0.43–0.58,24
Austin,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.55,1.44,1.65,1.44–1.65,0.27,0.24,0.31,0.24–0.31,25
Atlanta,GA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.45,1.27,1.63,1.27–1.63,0.32,0.24,0.41,0.24–0.41,26
Columbus,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.28,1.08,1.48,1.08–1.48,0.08,0.05,0.1,0.05–0.1,27
Fort Worth,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.26,1.12,1.4,1.12–1.4,0.1,0.07,0.13,0.07–0.13,28
Denver,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.25,1.12,1.38,1.12–1.38,0.21,0.11,0.32,0.11–0.32,29
San Antonio,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.22,0.95,1.49,0.95–1.49,0.11,0.07,0.16,0.07–0.16,30
Tampa,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.17,0.9,1.44,0.9–1.44,0.31,0.2,0.43,0.2–0.43,31
Nashville,TN,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.11,0.84,1.39,0.84–1.39,0.16,0.09,0.23,0.09–0.23,32
Baton Rouge,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.09,0.88,1.3,0.88–1.3,0.26,0.16,0.35,0.16–0.35,33
Reno,NV,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1.09,0.83,1.35,0.83–1.35,0.24,0.09,0.38,0.09–0.38,34
Colorado Springs,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",1,0.86,1.14,0.86–1.14,0.13,0.08,0.18,0.08–0.18,35
New Orleans,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",0.96,0.82,1.1,0.82–1.1,0.14,0.1,0.17,0.1–0.17,36
Orlando,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",0.94,0.81,1.06,0.81–1.06,0.19,0.13,0.24,0.13–0.24,37
Oklahoma City,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",0.8,0.7,0.89,0.7–0.89,0.05,0.02,0.07,0.02–0.07,38
El Paso,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",0.72,0.53,0.92,0.53–0.92,0.11,0.03,0.19,0.03–0.19,39
Wilmington,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$120,000",0.54,0.49,0.59,0.49–0.59,0,0,0,0–0,40
Tulsa,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",4.51,2.65,6.38,2.65–6.38,1.13,0.66,1.6,0.66–1.6,1
Miami,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",4.01,3.51,4.51,3.51–4.51,1.37,1.17,1.57,1.17–1.57,2
Jersey City,NJ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",3.38,2.48,4.29,2.48–4.29,0.3,0.16,0.43,0.16–0.43,3
Phoenix,AZ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.95,2.74,3.16,2.74–3.16,1.44,1.27,1.62,1.27–1.62,4
San Francisco,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.82,2.37,3.28,2.37–3.28,1,0.77,1.22,0.77–1.22,5
New York,NY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.82,2.73,2.91,2.73–2.91,0.83,0.79,0.87,0.79–0.87,6
Washington,DC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.82,2.38,3.26,2.38–3.26,0.95,0.8,1.1,0.8–1.1,7
Oakland,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.81,2.25,3.37,2.25–3.37,0.49,0.31,0.67,0.31–0.67,8
Boston,MA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.63,2.34,2.93,2.34–2.93,1.05,0.88,1.23,0.88–1.23,9
Philadelphia,PA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.61,2.49,2.74,2.49–2.74,0.22,0.2,0.23,0.2–0.23,10
Fort Lauderdale,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.44,1.86,3.03,1.86–3.03,0.93,0.68,1.19,0.68–1.19,11
Honolulu,HI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.36,2.07,2.64,2.07–2.64,0.98,0.81,1.14,0.81–1.14,12
Albuquerque,NM,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.3,1.52,3.08,1.52–3.08,0.37,0.18,0.56,0.18–0.56,13
Seattle,WA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.29,2.18,2.41,2.18–2.41,0.73,0.67,0.78,0.67–0.78,14
Los Angeles,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.11,1.99,2.24,1.99–2.24,0.68,0.63,0.73,0.63–0.73,15
San Diego,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2.07,1.84,2.29,1.84–2.29,0.77,0.65,0.89,0.65–0.89,16
Louisville,KY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",2,1.21,2.79,1.21–2.79,0.22,0.11,0.33,0.11–0.33,17
Cleveland,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.83,1.35,2.31,1.35–2.31,0.56,0.41,0.71,0.41–0.71,18
Providence,RI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.64,1.31,1.96,1.31–1.96,0.13,0.09,0.18,0.09–0.18,19
Jacksonville,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.61,1.4,1.82,1.4–1.82,0.37,0.29,0.46,0.29–0.46,20
Colorado Springs,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.56,1.38,1.75,1.38–1.75,0.13,0.09,0.17,0.09–0.17,21
Boulder,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.54,1.28,1.8,1.28–1.8,0.98,0.59,1.37,0.59–1.37,22
Atlanta,GA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.54,1.32,1.75,1.32–1.75,0.34,0.25,0.43,0.25–0.43,23
Nashville,TN,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.51,1.21,1.82,1.21–1.82,0.15,0.09,0.21,0.09–0.21,24
San Antonio,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.45,1.2,1.71,1.2–1.71,0.29,0.2,0.38,0.2–0.38,25
Tampa,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.43,1.16,1.71,1.16–1.71,0.42,0.3,0.54,0.3–0.54,26
Portland,OR,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.43,1.35,1.51,1.35–1.51,0.57,0.52,0.62,0.52–0.62,27
Boise,ID,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.42,0.95,1.88,0.95–1.88,0.29,0.17,0.41,0.17–0.41,28
Houston,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.4,1.17,1.64,1.17–1.64,0.22,0.12,0.32,0.12–0.32,29
Reno,NV,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.39,1.16,1.63,1.16–1.63,0.45,0.27,0.64,0.27–0.64,30
Sacramento,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.38,1.19,1.57,1.19–1.57,0.35,0.26,0.44,0.26–0.44,31
Orlando,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Dense city neighborhood (10,000/sq. mi.)","$50,000",1.36,1.17,1.56,1.17–1.56,0.3,0.17,0.44,0.17–0.44,32
