City,State,Housing type,Project,Units,Sq. ft. per unit,Neighborhood,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Providence,RI,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",2.16,1.58,2.73,1.58–2.73,0.15,0.1,0.21,0.1–0.21,11
Boulder,CO,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",2.02,1.71,2.34,1.71–2.34,0.47,0.38,0.56,0.38–0.56,12
San Diego,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",2,1.9,2.1,1.9–2.1,0.6,0.56,0.64,0.56–0.64,13
Seattle,WA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.96,1.88,2.04,1.88–2.04,0.6,0.56,0.64,0.56–0.64,14
Buffalo,NY,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.92,1.33,2.51,1.33–2.51,0.61,0.31,0.92,0.31–0.92,15
St. Paul,MN,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.91,1.52,2.3,1.52–2.3,0.14,0.12,0.17,0.12–0.17,16
Fort Lauderdale,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.8,1.57,2.04,1.57–2.04,0.49,0.4,0.58,0.4–0.58,17
Cleveland,OH,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.67,1.52,1.82,1.52–1.82,0.55,0.48,0.61,0.48–0.61,18
Baltimore,MD,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.63,1.24,2.02,1.24–2.02,0.76,0.5,1.03,0.5–1.03,19
Houston,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.51,1.43,1.59,1.43–1.59,0.29,0.26,0.32,0.26–0.32,20
Anaheim,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.43,1.26,1.61,1.26–1.61,0.57,0.48,0.66,0.48–0.66,21
Albuquerque,NM,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.42,1.33,1.51,1.33–1.51,0.09,0.08,0.1,0.08–0.1,22
Cincinnati,OH,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.41,1.31,1.51,1.31–1.51,0.23,0.2,0.26,0.2–0.26,23
Sacramento,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.39,1.32,1.46,1.32–1.46,0.42,0.39,0.45,0.39–0.45,24
Ann Arbor,MI,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.29,1.1,1.47,1.1–1.47,0.22,0.15,0.29,0.15–0.29,25
Atlanta,GA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.24,1.19,1.29,1.19–1.29,0.39,0.35,0.43,0.35–0.43,26
Sioux Falls,SD,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.2,0.94,1.46,0.94–1.46,0.05,0.02,0.07,0.02–0.07,27
Portland,OR,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.19,1.16,1.23,1.16–1.23,0.48,0.46,0.5,0.46–0.5,28
Austin,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.17,1.12,1.22,1.12–1.22,0.21,0.19,0.23,0.19–0.23,29
Spokane,WA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.09,1.02,1.17,1.02–1.17,0.08,0.07,0.08,0.07–0.08,30
Jacksonville,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1.06,1.02,1.1,1.02–1.1,0.16,0.15,0.17,0.15–0.17,31
Omaha,NE,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",1,0.94,1.07,0.94–1.07,0.03,0.02,0.03,0.02–0.03,32
Reno,NV,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.96,0.8,1.12,0.8–1.12,0.34,0.21,0.46,0.21–0.46,33
New Orleans,LA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.91,0.87,0.95,0.87–0.95,0.11,0.1,0.12,0.1–0.12,34
Tulsa,OK,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.91,0.81,1.01,0.81–1.01,0.08,0.07,0.1,0.07–0.1,35
Orlando,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.91,0.85,0.97,0.85–0.97,0.2,0.18,0.22,0.18–0.22,36
Denver,CO,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.9,0.88,0.92,0.88–0.92,0.2,0.19,0.2,0.19–0.2,37
Louisville,KY,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.82,0.78,0.87,0.78–0.87,0.03,0.03,0.04,0.03–0.04,38
Baton Rouge,LA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.8,0.73,0.88,0.73–0.88,0.26,0.21,0.3,0.21–0.3,39
Columbus,OH,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.79,0.76,0.82,0.76–0.82,0.04,0.03,0.04,0.03–0.04,40
Tampa,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.76,0.72,0.8,0.72–0.8,0.18,0.17,0.19,0.17–0.19,41
San Antonio,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.75,0.73,0.78,0.73–0.78,0.07,0.06,0.07,0.06–0.07,42
Norfolk,VA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.75,0.68,0.81,0.68–0.81,0.17,0.13,0.21,0.13–0.21,43
Nashville,TN,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.74,0.72,0.76,0.72–0.76,0.06,0.05,0.06,0.05–0.06,44
Durham,NC,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.7,0.67,0.73,0.67–0.73,0.12,0.11,0.12,0.11–0.12,45
Charleston,SC,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.67,0.63,0.7,0.63–0.7,0.09,0.08,0.1,0.08–0.1,46
Raleigh,NC,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.66,0.63,0.69,0.63–0.69,0.14,0.13,0.15,0.13–0.15,47
Boise,ID,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.65,0.62,0.67,0.62–0.67,0.12,0.12,0.13,0.12–0.13,48
Little Rock,AR,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.62,0.56,0.68,0.56–0.68,0.01,0.01,0.01,0.01–0.01,49
Oklahoma City,OK,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.62,0.61,0.63,0.61–0.63,0.03,0.03,0.03,0.03–0.03,50
Fort Worth,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.6,0.59,0.61,0.59–0.61,0.09,0.09,0.1,0.09–0.1,51
Colorado Springs,CO,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.57,0.54,0.59,0.54–0.59,0.08,0.08,0.09,0.08–0.09,52
Mesa,AZ,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.55,0.53,0.58,0.53–0.58,0.05,0.04,0.05,0.04–0.05,53
Wilmington,NC,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.55,0.52,0.58,0.52–0.58,0.01,0.01,0.01,0.01–0.01,54
Phoenix,AZ,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.5,0.49,0.51,0.49–0.51,0.05,0.04,0.05,0.04–0.05,55
El Paso,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.49,0.47,0.51,0.47–0.51,0.06,0.06,0.07,0.06–0.07,56
Indianapolis,IN,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"City neighborhood (4,000/sq. mi.)",0.42,0.39,0.45,0.39–0.45,0.01,0.01,0.02,0.01–0.02,57
Miami,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",3.61,3.38,3.84,3.38–3.84,1.21,1.1,1.32,1.1–1.32,1
San Francisco,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",3,2.57,3.43,2.57–3.43,0.96,0.76,1.15,0.76–1.15,2
Pittsburgh,PA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",2.86,2.23,3.48,2.23–3.48,1.97,1.28,2.66,1.28–2.66,3
Philadelphia,PA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",2.75,2.46,3.03,2.46–3.03,0.22,0.17,0.27,0.17–0.27,4
Boston,MA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",2.69,2.32,3.06,2.32–3.06,1.19,0.92,1.46,0.92–1.46,5
Oakland,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",2.63,2.41,2.85,2.41–2.85,0.43,0.38,0.48,0.38–0.48,6
Los Angeles,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",2.5,2.45,2.54,2.45–2.54,0.78,0.76,0.8,0.76–0.8,7
St. Paul,MN,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",2.34,1.88,2.8,1.88–2.8,0.16,0.13,0.19,0.13–0.19,8
New York,NY,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",2.3,2.23,2.38,2.23–2.38,0.64,0.61,0.67,0.61–0.67,9
San Jose,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",2.27,1.75,2.79,1.75–2.79,0.35,0.16,0.53,0.16–0.53,10
Honolulu,HI,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",2.19,2.12,2.25,2.12–2.25,0.68,0.65,0.71,0.65–0.71,11
San Diego,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",2.14,2.03,2.24,2.03–2.24,0.62,0.58,0.67,0.58–0.67,12
Providence,RI,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",2.1,1.51,2.69,1.51–2.69,0.14,0.09,0.19,0.09–0.19,13
Fort Lauderdale,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",2.08,1.78,2.38,1.78–2.38,0.57,0.45,0.68,0.45–0.68,14
Boulder,CO,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.94,1.64,2.24,1.64–2.24,0.45,0.36,0.55,0.36–0.55,15
Seattle,WA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.85,1.78,1.92,1.78–1.92,0.53,0.5,0.57,0.5–0.57,16
Cleveland,OH,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.63,1.46,1.79,1.46–1.79,0.53,0.46,0.6,0.46–0.6,17
Anaheim,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.57,1.38,1.75,1.38–1.75,0.66,0.56,0.77,0.56–0.77,18
Houston,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.57,1.48,1.65,1.48–1.65,0.29,0.26,0.32,0.26–0.32,19
Albuquerque,NM,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.46,1.36,1.55,1.36–1.55,0.09,0.09,0.1,0.09–0.1,20
Cincinnati,OH,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.44,1.32,1.55,1.32–1.55,0.25,0.21,0.28,0.21–0.28,21
Sacramento,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.42,1.35,1.49,1.35–1.49,0.5,0.46,0.53,0.46–0.53,22
Austin,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.34,1.28,1.4,1.28–1.4,0.28,0.26,0.3,0.26–0.3,23
Buffalo,NY,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.33,0.92,1.73,0.92–1.73,0.37,0.2,0.55,0.2–0.55,24
Atlanta,GA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.3,1.24,1.37,1.24–1.37,0.41,0.37,0.45,0.37–0.45,25
Ann Arbor,MI,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.3,1.09,1.51,1.09–1.51,0.23,0.16,0.3,0.16–0.3,26
Sioux Falls,SD,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.19,0.94,1.45,0.94–1.45,0.04,0.02,0.06,0.02–0.06,27
Denver,CO,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.19,1.16,1.22,1.16–1.22,0.32,0.3,0.33,0.3–0.33,28
Spokane,WA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.13,1.03,1.23,1.03–1.23,0.08,0.07,0.09,0.07–0.09,29
Baltimore,MD,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.12,0.97,1.28,0.97–1.28,0.51,0.4,0.63,0.4–0.63,30
Portland,OR,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.11,1.08,1.15,1.08–1.15,0.43,0.41,0.45,0.41–0.45,31
Jacksonville,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.1,1.06,1.14,1.06–1.14,0.17,0.16,0.18,0.16–0.18,32
Tulsa,OK,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.1,0.96,1.24,0.96–1.24,0.11,0.08,0.13,0.08–0.13,33
Tampa,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",1.03,0.97,1.09,0.97–1.09,0.24,0.22,0.26,0.22–0.26,34
Omaha,NE,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.99,0.92,1.06,0.92–1.06,0.03,0.02,0.03,0.02–0.03,35
Reno,NV,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.96,0.8,1.12,0.8–1.12,0.34,0.21,0.47,0.21–0.47,36
Orlando,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.94,0.88,1.01,0.88–1.01,0.2,0.18,0.22,0.18–0.22,37
Columbus,OH,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.91,0.86,0.95,0.86–0.95,0.06,0.05,0.07,0.05–0.07,38
Baton Rouge,LA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.86,0.78,0.95,0.78–0.95,0.3,0.25,0.36,0.25–0.36,39
Norfolk,VA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.86,0.77,0.94,0.77–0.94,0.19,0.14,0.23,0.14–0.23,40
New Orleans,LA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.86,0.82,0.9,0.82–0.9,0.1,0.09,0.11,0.09–0.11,41
Louisville,KY,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.85,0.79,0.91,0.79–0.91,0.03,0.03,0.04,0.03–0.04,42
Nashville,TN,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.82,0.79,0.85,0.79–0.85,0.06,0.06,0.07,0.06–0.07,43
San Antonio,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.8,0.78,0.83,0.78–0.83,0.08,0.07,0.09,0.07–0.09,44
Durham,NC,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.78,0.75,0.82,0.75–0.82,0.14,0.13,0.15,0.13–0.15,45
Charleston,SC,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.77,0.72,0.82,0.72–0.82,0.1,0.09,0.12,0.09–0.12,46
Raleigh,NC,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.73,0.69,0.77,0.69–0.77,0.14,0.13,0.15,0.13–0.15,47
Boise,ID,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.68,0.65,0.7,0.65–0.7,0.13,0.12,0.14,0.12–0.14,48
Little Rock,AR,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.65,0.59,0.72,0.59–0.72,0.01,0.01,0.01,0.01–0.01,49
Oklahoma City,OK,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.63,0.61,0.64,0.61–0.64,0.03,0.03,0.03,0.03–0.03,50
Fort Worth,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.6,0.59,0.61,0.59–0.61,0.1,0.09,0.1,0.09–0.1,51
Wilmington,NC,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.58,0.55,0.62,0.55–0.62,0.01,0,0.01,0–0.01,52
Colorado Springs,CO,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.57,0.55,0.6,0.55–0.6,0.09,0.08,0.1,0.08–0.1,53
Mesa,AZ,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.54,0.51,0.56,0.51–0.56,0.06,0.05,0.06,0.05–0.06,54
El Paso,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.52,0.5,0.55,0.5–0.55,0.07,0.06,0.07,0.06–0.07,55
Phoenix,AZ,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.51,0.5,0.52,0.5–0.52,0.06,0.05,0.06,0.05–0.06,56
Indianapolis,IN,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Dense city neighborhood (10,000/sq. mi.)",0.45,0.41,0.48,0.41–0.48,0.02,0.01,0.02,0.01–0.02,57
Miami,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",3.78,3.36,4.2,3.36–4.2,1.15,0.97,1.34,0.97–1.34,1
Boston,MA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",2.89,2.38,3.41,2.38–3.41,1.14,0.84,1.43,0.84–1.43,2
St. Paul,MN,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",2.87,2.07,3.67,2.07–3.67,0.18,0.12,0.23,0.12–0.23,3
San Francisco,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",2.84,2.39,3.29,2.39–3.29,0.99,0.77,1.21,0.77–1.21,4
Philadelphia,PA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",2.74,2.46,3.03,2.46–3.03,0.23,0.17,0.28,0.17–0.28,5
Oakland,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",2.65,2.4,2.9,2.4–2.9,0.45,0.39,0.51,0.39–0.51,6
Los Angeles,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",2.46,2.41,2.52,2.41–2.52,0.73,0.71,0.75,0.71–0.75,7
Fort Lauderdale,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",2.4,1.93,2.86,1.93–2.86,0.66,0.47,0.86,0.47–0.86,8
New York,NY,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",2.37,2.28,2.46,2.28–2.46,0.62,0.59,0.66,0.59–0.66,9
San Jose,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",2.35,1.76,2.94,1.76–2.94,0.32,0.14,0.51,0.14–0.51,10
San Diego,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",2.28,2.14,2.41,2.14–2.41,0.65,0.59,0.71,0.59–0.71,11
Honolulu,HI,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",2.14,2.07,2.21,2.07–2.21,0.64,0.61,0.67,0.61–0.67,12
Providence,RI,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",2.05,1.32,2.78,1.32–2.78,0.13,0.07,0.19,0.07–0.19,13
Boulder,CO,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.86,1.55,2.16,1.55–2.16,0.43,0.33,0.54,0.33–0.54,14
Seattle,WA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.74,1.66,1.83,1.66–1.83,0.48,0.44,0.51,0.44–0.51,15
Anaheim,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.72,1.47,1.96,1.47–1.96,0.77,0.62,0.92,0.62–0.92,16
Houston,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.62,1.51,1.73,1.51–1.73,0.3,0.26,0.34,0.26–0.34,17
Cleveland,OH,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.59,1.38,1.8,1.38–1.8,0.52,0.43,0.61,0.43–0.61,18
Denver,CO,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.56,1.5,1.63,1.5–1.63,0.52,0.48,0.56,0.48–0.56,19
Austin,TX,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.53,1.46,1.6,1.46–1.6,0.37,0.34,0.41,0.34–0.41,20
Albuquerque,NM,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.49,1.39,1.6,1.39–1.6,0.1,0.09,0.11,0.09–0.11,21
Cincinnati,OH,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.46,1.28,1.64,1.28–1.64,0.27,0.21,0.32,0.21–0.32,22
Sacramento,CA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.46,1.38,1.53,1.38–1.53,0.58,0.54,0.63,0.54–0.63,23
Tampa,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.4,1.29,1.52,1.29–1.52,0.32,0.28,0.37,0.28–0.37,24
Atlanta,GA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.37,1.29,1.45,1.29–1.45,0.43,0.38,0.49,0.38–0.49,25
Tulsa,OK,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.32,1.12,1.51,1.12–1.51,0.14,0.1,0.18,0.1–0.18,26
Ann Arbor,MI,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.32,1.06,1.58,1.06–1.58,0.24,0.15,0.33,0.15–0.33,27
Sioux Falls,SD,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.19,0.93,1.44,0.93–1.44,0.03,0.01,0.05,0.01–0.05,28
Spokane,WA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.17,1.04,1.3,1.04–1.3,0.09,0.08,0.1,0.08–0.1,29
Jacksonville,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.14,1.09,1.19,1.09–1.19,0.18,0.17,0.19,0.17–0.19,30
Columbus,OH,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.04,0.97,1.1,0.97–1.1,0.09,0.07,0.1,0.07–0.1,31
Portland,OR,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",1.03,0.99,1.08,0.99–1.08,0.38,0.36,0.41,0.36–0.41,32
Norfolk,VA,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",0.99,0.85,1.12,0.85–1.12,0.21,0.14,0.27,0.14–0.27,33
Omaha,NE,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",0.98,0.9,1.06,0.9–1.06,0.03,0.02,0.03,0.02–0.03,34
Orlando,FL,Single-family,"Single-family, 1,500 sq. ft.",1,1500,"Urban core (25,000/sq. mi.)",0.98,0.91,1.05,0.91–1.05,0.2,0.18,0.23,0.18–0.23,35
